Date,Open,High,Low,Close,Volume
2072-05-09,254.0,256.5,253.5,254.75,18696
2072-05-10,257.5,266.5,257.0,264.75,35787
2072-05-11,263.0,268.5,262.5,265.75,24713
2072-05-12,265.75,277.5,264.75,272.0,41017
2072-05-13,275.0,277.0,270.0,276.5,21849
2072-05-14,275.75,276.0,270.5,272.75,14361
2072-05-15,273.25,274.75,267.75,268.75,14403
2072-05-16,269.25,270.0,266.5,268.5,13125
2072-05-17,268.75,275.5,268.75,275.0,17063
2072-05-18,274.75,283.0,273.5,282.0,32439
2072-05-19,282.0,286.0,279.0,284.25,32838
2072-05-20,282.5,283.75,276.0,282.25,27471
2072-05-21,283.0,285.5,280.5,281.25,18203
2072-05-22,281.25,284.5,276.0,277.0,21476
2072-05-23,278.0,281.5,271.0,272.0,25393
2072-05-24,272.0,277.0,271.5,276.25,11394
2072-05-25,275.5,283.5,273.5,280.25,19061
2072-05-26,281.0,284.5,280.0,281.25,18248
2072-05-27,280.75,281.25,278.25,279.5,10925
2072-05-28,279.5,282.0,276.0,279.5,18925
2072-05-29,279.5,281.5,278.5,280.75,12425
2072-05-30,280.0,280.0,272.5,274.25,20488
2072-05-31,275.0,276.75,274.0,274.75,12563
2072-06-01,276.5,278.75,270.0,270.5,22139
2072-06-02,270.5,272.0,267.25,271.25,20821
2072-06-03,272.25,274.0,264.0,266.0,24788
2072-06-04,266.0,268.0,263.0,267.0,16747
2072-06-05,267.5,268.5,260.0,264.25,23227
2072-06-06,264.5,268.0,263.5,266.5,14206
2072-06-07,266.5,271.75,265.5,269.75,23714
2072-06-08,268.5,268.5,264.5,265.75,17280
2072-06-09,266.0,268.25,264.25,264.75,16950
2072-06-10,280.0,287.5,278.0,285.5,13003
2072-06-11,286.0,291.5,284.75,288.75,7081
2072-06-12,288.75,293.0,287.5,289.75,8629
2072-06-13,288.75,290.0,284.0,284.5,8606
2072-06-14,284.5,289.25,283.5,286.5,12252
2072-06-15,287.5,289.5,285.0,285.25,11459
2072-06-16,285.25,287.0,282.0,284.25,13295
2072-06-17,284.0,287.5,283.5,284.75,18330
2072-06-18,284.75,285.0,270.5,271.25,22855
2072-06-19,258.0,261.5,258.0,258.75,11256
2072-06-20,259.25,260.0,254.0,255.0,11226
2072-06-21,255.0,258.5,254.5,254.75,9283
2072-06-22,254.0,257.75,250.0,257.0,8860
2072-06-23,258.0,258.5,256.0,256.25,6871
2072-06-24,256.0,256.25,246.0,252.5,13744
2072-06-25,252.75,255.25,252.0,254.5,7897
2072-06-26,254.0,256.0,247.5,248.75,7062
2072-06-27,248.0,248.0,243.75,244.25,7233
2072-06-28,244.25,247.5,241.0,241.25,6523
2072-06-29,241.25,246.0,239.0,244.5,7136
2072-06-30,244.0,247.5,244.0,246.75,3792
2072-07-01,247.0,248.5,246.5,247.25,4380
2072-07-02,247.25,249.5,242.5,245.5,4393
2072-07-03,244.75,247.0,243.0,245.5,5973
2072-07-04,245.5,247.5,243.0,244.25,3755
2072-07-05,244.25,247.75,244.25,245.75,5397
2072-07-06,246.0,259.0,246.0,248.0,5698
2072-07-07,247.75,248.25,245.25,246.25,6131
2072-07-08,246.25,249.75,242.5,245.0,6981
2072-07-09,245.0,247.25,244.5,246.25,5729
2072-07-10,246.25,247.5,241.75,242.25,7054
