run_dir,p_sigma_q_low,p_sigma_q_high,p_mult_mid,p_mult_high,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260314_IS_150,0.3,0.8,0.6,0.3,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_151,0.3,0.8,0.6,0.4,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_152,0.3,0.8,0.6,0.5,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_153,0.3,0.8,0.7,0.2,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_154,0.3,0.8,0.7,0.3,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_155,0.3,0.8,0.7,0.4,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_156,0.3,0.8,0.7,0.5,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_157,0.3,0.8,0.8,0.2,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_158,0.3,0.8,0.8,0.3,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_159,0.3,0.8,0.8,0.4,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_160,0.3,0.8,0.8,0.5,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_161,0.3,0.85,0.5,0.2,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_162,0.3,0.85,0.5,0.3,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_163,0.3,0.85,0.5,0.4,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_164,0.3,0.85,0.5,0.5,-0.9224514747520757,-0.8877758179266146,5.86552217453505,917859.2192000002,0
run_20260314_IS_165,0.3,0.85,0.6,0.2,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_166,0.3,0.85,0.6,0.3,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_167,0.3,0.85,0.6,0.4,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_168,0.3,0.85,0.6,0.5,-0.9249387887152063,-0.8915872519238869,5.86552217453505,915164.2976000002,0
run_20260314_IS_169,0.3,0.85,0.7,0.2,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_170,0.3,0.85,0.7,0.3,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_171,0.3,0.85,0.7,0.4,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_172,0.3,0.85,0.7,0.5,-0.9272819976547784,-0.8951641134513451,5.86552217453505,912472.9882000003,0
run_20260314_IS_173,0.3,0.85,0.8,0.2,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_174,0.3,0.85,0.8,0.3,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_175,0.3,0.85,0.8,0.4,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_176,0.3,0.85,0.8,0.5,-0.9296972212947151,-0.8988060432847284,5.86552217453505,909529.6214000001,0
run_20260314_IS_177,0.3,0.9,0.5,0.2,-0.9245190894297456,-0.8905309928584355,6.008583690987124,915625.7900000004,0
run_20260314_IS_178,0.3,0.9,0.5,0.3,-0.9245190894297456,-0.8905309928584355,6.008583690987124,915625.7900000004,0
run_20260314_IS_179,0.3,0.9,0.5,0.4,-0.9245190894297456,-0.8905309928584355,6.008583690987124,915625.7900000004,0
