Index,Open,High,Low,Close,Volume
2072-11-03,105.578102,105.609398,105.484398,105.5,6801
2072-11-04,105.375,105.546898,105.343803,105.484398,9396
2072-11-05,105.3125,105.359398,105.1875,105.265602,11166
2072-11-06,104.546898,104.703102,104.5,104.656197,7785
2072-11-07,105.0,105.046898,104.765602,104.796898,8990
2072-11-08,104.984398,105.093803,104.921898,105.046898,7441
2072-11-09,104.890602,104.953102,104.6875,104.828102,10807
2072-11-10,104.8125,104.8125,104.640602,104.765602,7859
2072-11-11,105.093803,105.1875,105.0625,105.093803,7185
2072-11-12,105.453102,105.828102,105.421898,105.734398,23661
2072-11-13,106.031197,106.156197,105.968803,106.109398,9242
2072-11-14,105.984375,106.328125,105.84375,105.984375,75417
2072-11-15,106.09375,106.25,105.4375,105.484375,65395
2072-11-16,106.09375,106.25,105.3125,105.359375,38786
2072-11-17,105.375,105.6875,105.234375,105.484375,45696
2072-11-18,105.5625,105.96875,105.484375,105.9375,61156
2072-11-19,105.875,106.140625,105.796875,105.890625,45892
2072-11-20,105.96875,106.109375,105.375,105.65625,51762
2072-11-21,105.671875,106.078125,105.65625,105.953125,47590
2072-11-22,106.015625,106.03125,105.5625,105.6875,54473
2072-11-23,106.46875,106.890625,106.25,106.859375,42145
2072-11-24,105.875,106.234375,105.6875,106.21875,50530
2072-11-25,105.875,105.906197,105.75,105.906197,6605
2072-11-26,106.25,106.34375,105.890625,106.328125,74511
2072-11-27,106.21875,106.234375,105.890625,105.9375,49573
2072-11-28,105.875,106.84375,105.859375,106.609375,60409
2072-11-29,106.625,106.71875,106.390625,106.390625,40135
2072-11-30,106.375,106.40625,105.265625,105.375,85121
2072-12-01,105.46875,105.578125,104.78125,105.03125,75277
2072-12-02,105.125,105.390625,104.609375,104.609375,51479
2072-12-03,104.625,104.8125,103.9375,104.1875,52732
2072-12-04,104.15625,104.671875,104.09375,104.484375,76982
2072-12-05,104.421875,105.140625,103.640625,104.96875,98765
2072-12-06,104.8125,105.0625,103.796875,103.875,82438
2072-12-07,103.875,104.421875,103.75,104.078125,63190
2072-12-08,104.109375,104.828125,104.109375,104.796875,49855
2072-12-09,104.8125,104.875,104.34375,104.59375,61973
2072-12-10,104.625,104.953125,104.09375,104.28125,61070
2072-12-11,104.3125,104.8125,104.0625,104.734375,68886
2072-12-12,104.765625,104.875,103.765625,103.828125,57309
2072-12-13,103.8125,103.90625,103.3125,103.765625,68284
2072-12-14,103.828125,104.25,103.609375,104.09375,48236
2072-12-15,104.078125,104.3125,103.8125,104.109375,63536
2072-12-16,104.109375,104.8125,104.078125,104.65625,73669
2072-12-17,104.75,105.5625,104.671875,104.78125,67814
2072-12-18,104.8125,105.0,104.734375,104.921875,35475
2072-12-19,104.96875,105.234375,104.625,104.625,62552
2072-12-20,104.71875,105.265625,104.71875,105.1875,71031
2072-12-21,105.265625,105.328125,104.28125,104.328125,76952
2072-12-22,104.3125,104.5625,102.90625,103.3125,94693
2072-12-23,103.421875,103.5,102.78125,102.890625,64055
