run_dir,p_ema_short,p_ema_long,p_hurst_min_soft,true_pd_ratio,open_pnl_pd_ratio,activity_pct,final_value,bankrupt
run_20260313_IS_111,18,60,0.4,-0.7349360344408646,-0.4883470668257387,3.857142857142857,984384.8247217374,0
run_20260313_IS_112,18,60,0.45,-0.7339156599533997,-0.48661716612004496,3.857142857142857,985096.9132821141,0
run_20260313_IS_113,18,60,0.5,-0.7325222786209371,-0.48427031662785675,3.857142857142857,985951.917792048,0
run_20260313_IS_114,18,60,0.55,-0.7306505779819392,-0.48110279767833514,3.857142857142857,986996.9158348229,0
run_20260313_IS_115,18,60,0.6,-0.7277853951377842,-0.4762626470782937,3.857142857142857,988305.5851789704,0
run_20260313_IS_116,18,70,0.4,-0.358513967703904,0.184088370434692,9.44206008583691,988796.0152307078,0
run_20260313_IS_117,18,70,0.45,-0.35902551877640976,0.18140821122579706,9.44206008583691,989282.4586876665,0
run_20260313_IS_118,18,70,0.5,-0.3596835367106225,0.1778876565274819,9.44206008583691,989867.7097124256,0
run_20260313_IS_119,18,70,0.55,-0.3605801879607714,0.17296584286028507,9.44206008583691,990584.1467383635,0
run_20260313_IS_120,18,70,0.6,-0.3618802546751866,0.16576530142779264,9.44206008583691,991480.892994827,0
run_20260313_IS_121,18,80,0.4,-0.36460350910459993,0.5091075326415857,8.583690987124463,992592.3941660989,0
run_20260313_IS_122,18,80,0.45,-0.3656159800440791,0.5050118595763107,8.583690987124463,992909.8572942062,0
run_20260313_IS_123,18,80,0.5,-0.36701050286871034,0.4993879116733671,8.583690987124463,993290.6189011297,0
run_20260313_IS_124,18,80,0.55,-0.36893806520548983,0.4916469319178205,8.583690987124463,993756.4540341909,0
run_20260313_IS_125,18,80,0.6,-0.37184282683058895,0.4800525937689037,8.583690987124463,994338.5838342976,0
